25994,37669,30307,31366,28511,30130,33183,31299,34761,28664,37277,33354,32369,32507,25648,27966,34009,35601,27676,36440,37073,35265,35077,23896,33227,30527,27349,30304,28387,34340,29985,24846,28389,26656,39362,35441,35663,33704,30661,31459,38295,31489,35078,23925,32312,33024,35076,29714,29199,37811,29926,38645,32789,35117,28062,27160,35858,37483,35328,32725,38785,34452,30861,29981,34316,30176,33902,34780,30692,32768,29667,31926,28985,38120,30288,31069,31328,26754,34752,27496,39853,28399,25882,29347,40763,33853,34595,32738,27666,33245,30522,28308,34843,27711,35539,34168,29033,28499,28795,36562,32199,38014,25688,32048,27157,29743,29641,36893,22824,31623,35748,36583,25869,35054,38653,35403,35409,28478,31184,32992
25081,29019,22813,35222,36288,32589,29434,31881,30742,39654,33194,23465,38790,29749,25014,23071,37135,28394,28022,31654,30714,26872,32942,34143,37818,33706,29349,35541,38207,32506,23793,41362,26192,32133,26209,31166,37334,27900,40317,17583,29541,32480,31178,26162,32022,35737,28765,30032,35486,34656,37747,26884,32364,24489,30968,37486,38157,33125,36447,36481,39588,29110,35815,40443,45079,38367,33038,36755,35832,29752,27873,35163,43389,34121,41124,28900,48603,31577,29482,29640,37950,41016,36164,24413,41830,30397,31325,26709,31774,34740,31448,36881,33175,39538,35696,24839,35679,31957,33574,29454,25950,31370,29023,32513,27288,37604,29782,29696,28348,33596,32157,35480,31486,25472,23895,31848,31084,37708,33453,26146
20652,37512,36128,38362,37178,33782,39381,35502,28711,38155,33089,36890,26298,25293,33586,18294,28758,23366,36810,27459,31518,24675,38385,24523,30120,27112,37897,36283,28404,30561,39621,39136,26857,33061,24831,35824,37513,40594,28253,31028,34275,32158,41216,26703,26356,26472,32793,22678,23607,29206,34124,34139,20352,41260,35890,34973,32794,39248,29173,29845,36526,35132,38633,26940,29135,34551,24661,34413,30524,34417,33276,27203,30803,35410,37185,28073,31979,36239,35562,30488,40222,36659,31971,36349,27058,32109,29271,33035,26042,32610,32581,33978,37099,31097,39853,22582,31643,19396,34798,30621,25185,33490,32097,32095,36465,29980,31074,24551,32613,36383,36202,34088,25341,27450,24032,38230,34253,33134,42021,35528
31095,32462,32781,26415,31578,34065,36382,26025,33194,32995,31903,29932,34250,29141,29374,20189,37352,29569,32742,34616,29192,29076,24543,35649,34448,26784,37567,28340,37388,40236,31038,28804,24962,40821,31464,29737,28953,30797,31728,32462,36205,30741,36952,29258,33617,27006,34447,24555,23001,33180,36761,25291,26503,31208,37186,34023,35286,35114,28800,40560,27107,35678,31486,24727,27695,31218,23165,30807,28516,28420,30245,30376,32904,33646,35913,28371,25939,30887,39502,23795,44111,37431,33942,26751,32232,29732,36326,27608,22688,36970,28400,32019,31954,33584,24085,26229,35592,32971,37434,34682,30021,35087,32984,30763,35911,26739,27401,37500,27249,36799,38517,32223,28584,25724,29996,37199,31649,31385,29216,34637
33051,21651,34649,33778,27437,32240,22925,29811,36207,41887,36350,36314,36039,28291,32826,28057,33350,35826,31409,35982,27457,31020,24508,32961,30054,36453,27898,34739,36278,31196,26481,33929,32666,36127,27183,36363,38238,39842,31692,24874,36044,29809,35771,31497,36220,27004,36952,25499,28962,39349,35658,30772,24654,33494,38112,33435,27243,27849,39439,38916,31142,34907,33666,32811,35193,34919,39042,33060,29690,29879,35111,39586,44646,33618,28865,33466,34448,29271,27368,22008,34136,38772,33142,28823,40369,31707,30353,39284,35523,38286,38697,32499,33331,32498,32213,28171,30393,29470,33894,36166,18667,37611,32933,36882,33018,28715,25709,25567,32228,30246,31517,33233,40650,36062,38333,27544,27494,31177,29252,27045
22536,35121,32499,28674,34432,31547,39313,34805,34280,34903,34165,34519,34584,27141,27758,31207,33402,29398,37924,38022,30509,27336,39560,31469,21748,29012,35068,31733,33258,35792,24328,40035,27763,36688,39736,40493,35093,27985,33860,35278,32702,32218,40239,22814,20156,24072,32572,25977,26520,34551,35131,26301,26330,37061,32315,31836,31707,29788,36114,27826,27894,30490,30657,24972,33306,33286,30935,32911,33665,28687,39033,37244,35827,34387,30222,33485,39122,30850,34410,33814,36296,31874,30121,36855,34807,29582,28561,37923,23610,38087,40943,37937,37788,35139,30500,31349,46597,27163,35848,32065,40449,28232,33063,28515,34286,34042,22414,30343,30136,29668,42708,40292,36040,32392,25722,43254,36104,27428,30097,34718
35970,33582,28123,26890,33875,32775,29487,38144,19551,33350,32809,28278,38852,37908,34051,31299,35475,38625,35105,26247,29633,25690,26445,37944,33305,29077,29699,33864,31146,26573,28162,30517,31055,32120,32357,32738,33227,36214,27052,26426,37797,27705,36123,31563,34003,39823,33530,20926,29114,30929,33867,33692,37837,30731,36763,34349,36081,38989,31396,32043,30344,36091,37013,35683,32095,30904,35984,27664,34985,30452,40441,33251,41736,38302,33148,34341,42367,40349,30309,32656,42845,34244,33271,30379,37307,35357,35276,40225,31272,36130,35477,37436,28691,34070,27237,32015,29716,27467,35687,34373,29133,39306,28129,30836,38249,27382,28747,28010,36025,33799,29565,32325,29852,35724,40474,35921,33333,34864,29524,26076
24183,28586,32609,37033,31129,25348,35441,20549,39983,33001,27253,36542,34295,32544,29323,27276,20444,29988,33777,33853,38077,37063,27612,30691,24208,24265,33090,37048,34836,39346,26091,30006,31359,29426,32578,29380,38757,28269,28965,44934,32535,27280,31426,33744,25855,30108,35100,32483,37370,32381,35691,28539,36432,31090,28985,29128,39589,31161,38804,18582,38267,32958,34579,34320,26748,34759,39738,26678,28701,27927,29686,32578,37602,40070,35839,38510,28578,27172,31696,29373,30058,32578,29070,28918,27777,36798,32929,35096,34285,36054,32257,32886,40475,32388,33174,33698,24937,34212,31337,38451,23055,34302,33744,35600,27574,36693,37488,33293,31862,31666,37466,26148,27473,38725,32161,24733,30353,36911,35582,36582
31293,37905,38499,27778,27529,37901,36015,33014,27919,31345,35356,44307,24459,32734,40730,33738,31374,25393,38430,34881,37447,26652,33268,30192,29349,30981,36080,32870,29365,32827,38276,37796,40398,36140,35845,36749,36915,36349,37967,30845,30309,35342,29048,32318,41513,32491,30655,36574,32864,26773,30460,37340,35730,27355,28467,35412,33473,30229,37741,32580,38223,28314,40206,34214,43027,36814,22066,37179,38072,38320,36625,29909,27174,27117,24834,32869,33550,33448,36736,33741,27396,32689,35473,27530,24051,28136,31248,36494,23578,28425,29329,39666,30666,37905,34583,32654,29178,43467,27898,23083,40508,22257,37501,29463,27363,31145,30569,38950,33356,34925,25817,23345,28760,22287,23304,40899,28304,34898,27779,42408
36534,37556,32351,33446,39463,29937,22116,39271,28269,25763,35561,31419,20531,39463,37435,32775,41474,36832,32823,27266,28212,37561,27080,32703,34730,35526,32791,36380,40483,30918,35714,25998,33806,31698,42840,39193,30439,36089,33089,21458,27944,26248,37947,32160,32204,39096,36000,21701,28564,38245,30993,30796,36351,35499,32711,27625,35534,34959,28837,39340,31168,36819,27719,34453,32359,27641,39403,29645,34598,37030,36909,37342,36542,34991,32313,24997,28628,22276,36205,40073,33243,31341,37194,32753,34466,37361,24024,33953,35447,31201,29290,25770,20770,30541,26688,33647,25723,30410,30867,36561,35126,34953,28574,26192,31677,39093,34152,31494,29516,31606,38887,35631,21966,34968,36668,24862,36537,29640,37740,32543
