32065,28908,29265,33954,32777,37840,33492,35055,29666,34525,27519,34548,23994,31640,32722,32378,34285,30229,30638,34769,28472,27764,31973,31036,28100,37231,35882,32005,28293,31550,32811,38686,35999,33963,31399,35290,33506,33590,31629,38539,27471,38578,28443,37093,32184,35796,29273,31611,36795,31964,34218,32982,33052,35828,27319,34018,25763,35094,29046,34586,32045,27249,33871,30223,32406,31141,33375,33671,30707,34235,29084,30827,34050,33861,36451,33912,29561,30170,35615,35637,32925,34899,35366,33113,35358,33490,38679,30473,34206,31616,27072,31069,37368,29585,29193,39473,28876,25677,33874,28953,36059,36528,39237,30087,35680,33690,31642,34816,30766,31413,32380,36274,30883,27167,30283,31974,31187,39007,33031,37907,37345,40774,40598,38449,32946,33681,30109,34717,32167,30917,35097,27305,36695,34551,36153,28389,33520,38318,26131,32543,32040,32188,37481,34968,28062,25798,32875,28661,34796,35671,35425,36831,40867,31242,21372,39291,31058,32016,34971,33583,37329,34039,33006,31174,39369,31697,34908,27950,33217,33955,34257,35358,26919,35867,32755,29195,38676,25843,39161,31259,31083,30027,28332,31147,33735,35182,36369,27275,29461,35764,33448,34678,23783,32932,35974,40722,29491,28166,33205,28664,37942,24239,36509,20483,30368,31619,32200,23197,27940,32802,42339,37180,29720,26645,35229,27839,34857,33493,37091,16496,33434,35840,34841,25782,39797,39844,47655,24241,30508,25002,28616,26520,35283,28271,44940,14541,37634,33229,28661,35022,41083,38571,21918,22069,28134,31048,27027,25727,24747,26996,35384,19059,34005,31629,25374,35984
27310,37186,24876,32790,34891,24865,34744,28586,39631,19602,31325,28623,35728,26595,34514,30532,38095,34433,31698,33623,33958,32564,39728,30723,24905,34082,30891,36792,31985,34698,29717,37160,27158,43407,34979,36903,38499,37681,39623,32512,38967,30297,27850,40197,22938,40173,31627,35421,28242,36266,36042,25790,33927,34326,33792,37392,37402,32885,31337,35339,34300,26637,32013,34865,37874,29097,26979,27743,35797,28608,35499,28306,28132,31139,33085,28148,34159,35188,30408,33620,33747,34221,27454,28017,31758,25256,29036,31532,34275,32147,33291,32299,18088,33822,21197,24566,29344,36173,40448,38281,32535,31629,32498,37372,27789,35449,30303,31481,26527,35170,33734,26440,29321,34108,27910,31189,31502,32323,29831,36360,34195,34058,36175,26738,34712,31465,35953,35270,34086,27519,33748,32942,37181,30352,35308,36099,29255,23846,27741,38601,35532,32973,28469,35005,27284,31135,32273,25981,32284,29746,32901,33786,19772,35755,27823,35585,30421,39832,32136,36658,26604,31514,36261,33435,36861,35905,30423,36330,34356,36675,27105,28280,38473,34028,39427,35010,28793,39321,30905,32375,30380,38091,27679,34184,36069,35106,35631,28652,29992,31254,34281,35949,30048,28439,30662,24113,37562,29280,32493,31313,32284,29712,22768,32849,31212,27032,34073,34288,26716,30708,32721,31150,32870,41681,37839,34894,29591,30601,31447,33466,19546,34129,26072,33585,26691,29655,23634,40116,24524,37044,28946,35101,30141,35583,37623,29570,38907,35145,31495,28885,30508,33032,37682,39007,27209,39338,33209,35107,39821,31313,29587,31420,36406,27325,27036,33460
34525,40228,32701,37183,32858,28059,31238,25705,30110,30657,32264,29571,32727,39019,35354,36592,37011,39775,30854,30422,35790,26382,27785,26813,32868,23267,26904,35074,26159,34255,30898,31100,33371,37725,32590,30095,28514,21941,31184,33407,34212,25197,25002,34950,30151,34268,34203,31179,32529,38087,26897,35279,31380,23883,40753,36019,29329,23956,26556,32321,27265,42871,34615,32779,31603,32907,30752,31446,38242,36010,35057,27500,31639,32076,35477,31341,30824,27870,29393,33789,30582,29837,35073,33819,31616,34176,27413,26325,34161,33566,30183,34238,26853,30281,31919,30754,28367,38725,29565,32457,30592,30058,30009,32703,34382,32034,34137,33459,34618,35855,30379,33400,20873,26275,28369,31518,36501,34339,34519,39719,37267,26923,22275,35646,38777,35762,40136,32867,31578,30628,27119,23535,31860,40405,39319,33430,36528,39120,30988,32373,34637,31196,30981,33235,38421,33469,39190,25289,26356,30847,35115,33769,33723,29886,32969,36425,35633,36042,33494,33716,31843,35531,34784,35568,33419,33254,28127,29837,34068,33571,35438,34972,31884,27445,33427,36000,26059,32741,29394,33327,29141,34068,29362,33317,31720,38651,31642,29597,40277,23628,31472,30697,24391,25816,27617,29186,36084,33778,36560,37438,33379,26545,29215,37598,27737,34149,26702,39070,32398,32778,27950,32501,36736,34677,32556,28948,27275,39020,29475,34736,28817,34482,32242,33434,29520,34577,28138,36902,35393,31416,35050,29487,34887,34531,31413,34135,31259,36095,33431,32646,37500,32218,42301,35599,36342,32046,27238,31781,36308,36619,28737,38567,34897,27457,38334,32703
33354,32853,37346,41032,29457,25784,23410,32134,34069,36714,34938,32242,22798,35100,32089,35388,36267,30891,29260,40067,25418,29967,31286,33594,34811,33368,32969,30484,29809,39054,32559,34655,27539,29757,36189,30674,31493,35860,34942,31954,34060,28398,33447,34352,35009,32716,25423,37469,32202,31872,31647,31999,30229,33111,27379,28012,29869,37733,32667,26538,34716,30593,27952,30621,39733,34189,35973,37895,24819,29688,31601,33741,31939,35298,32298,28391,32683,33788,32143,34076,38097,36417,31947,36586,31515,34994,29701,30474,39433,39883,31187,30198,37291,26372,26394,32240,32749,36808,31964,36298,35297,34216,33065,29498,32960,42641,31417,33967,34653,35620,38687,27184,32737,40040,29878,29800,35253,26706,28030,29639,27280,39315,36246,29415,35806,32087,37525,31978,36860,31740,33228,34540,36567,34942,31038,28141,33076,40659,30924,33283,39800,29192,34345,33312,23778,29468,27931,25606,37807,29553,28805,29081,28509,32890,28848,36154,37754,30828,35071,31723,28967,30460,30931,27364,34103,27263,31757,27441,34390,35079,26673,26557,31129,34051,28790,27104,37549,34556,38742,32484,19197,28082,30298,28724,33994,37070,31609,24551,32944,30721,26089,30615,31755,28736,30815,25098,42407,31648,31907,31875,34362,31484,25284,29040,27664,23896,32470,34516,28922,32348,36847,25861,37732,32318,36787,31456,34442,30153,29485,32517,29752,33896,28827,25810,33157,25582,45371,32203,31820,27765,34129,31211,33169,30137,31445,30061,28988,35433,34182,24071,40191,33188,43564,36267,28783,32528,27891,36068,28903,38079,42279,30244,31534,25827,27833,28975
37627,28729,34108,39220,21840,21203,34026,27922,33667,27225,33987,25475,24139,37411,37695,33252,35802,31333,34034,36387,28950,30489,27940,28848,38470,31404,34960,34694,26394,38313,38124,30510,29250,32328,29285,32880,31187,36832,34618,34262,34874,36313,28304,38367,30085,31938,30660,30596,34881,35256,38699,28541,32565,35181,27846,34535,38270,36171,38418,33135,37522,27588,29720,29351,31798,33534,36472,35156,32353,32627,31011,30742,27489,36915,29839,32706,37916,28411,29025,39511,30678,32334,33437,32793,36047,32347,29841,34381,34232,34139,25143,33244,29672,31761,29357,32368,34273,28815,29994,26608,32612,30742,32432,30770,29045,38593,32418,29667,31977,36933,37158,29210,33384,40927,33805,33586,29753,28964,28152,23181,29398,30987,41398,35025,32433,41855,42716,33051,30547,29160,30590,46198,40520,32468,30322,40685,35766,30568,37000,33833,28645,31678,35823,35394,33314,24709,31886,46093,38664,36445,33925,34146,33943,29032,31878,36115,29587,37138,35208,37838,30855,37968,36163,31309,28983,35724,36044,29195,31708,30000,33987,32231,30713,35294,32600,24661,36508,33525,32209,33333,27876,34119,28299,30823,33349,28434,30110,28003,39053,30834,27895,31319,32851,36900,25248,37295,39242,30058,35037,36582,36152,29468,31230,34753,30227,32482,36731,35886,32913,29073,35965,32539,35483,30263,35407,28784,39716,33104,34231,29990,31040,36041,34756,32514,37456,29522,40217,27694,26682,34706,35783,36837,25470,29932,34946,28803,39879,35984,26202,28938,41902,28033,40157,24820,29992,38354,26271,34015,36558,27019,36675,39157,40217,24815,24887,32980
28830,39913,31868,17987,36410,40426,37660,31228,34211,27457,27107,35539,28863,29898,27840,38095,31383,28398,37592,28950,38582,38561,32757,34868,37611,18943,34791,38333,28091,27500,28099,32386,31753,36493,36855,33450,36399,34795,36066,39140,33168,32115,37150,34308,28916,36458,34255,37144,29936,37156,33398,33098,36561,37856,29396,38054,31767,38849,31636,30922,25854,45480,39868,31512,29888,28296,30919,27247,37259,36118,29290,37147,39544,24786,28876,37646,31363,33637,27038,33067,32668,38664,32123,33683,34086,30133,31542,34505,34497,32987,24271,37324,28518,34173,32460,30546,36194,36076,34627,36503,24898,24461,27977,32611,37337,30371,29136,31387,27729,35688,32726,31922,33031,29881,21264,33039,33020,33734,34828,36788,31895,29077,31820,31978,33343,30753,30689,31792,32882,31292,35588,27910,32322,29860,36382,36365,33667,29217,31410,32133,26748,34587,28936,31216,35819,32483,34605,33019,35695,25786,32138,31234,34109,35456,34633,37235,29930,37680,37291,32579,34200,29050,28031,30608,35749,27378,34029,38278,31936,32943,31552,33279,26733,37119,28479,35472,24282,33859,34357,29496,32261,23571,25032,33309,22318,30032,19018,33339,31446,29381,38328,28664,29688,27739,40211,38087,16936,25247,27895,23917,34695,41759,36300,24256,27254,30283,29653,22120,32698,36468,36612,40628,29849,27217,25475,21080,32927,34523,44449,19037,28818,35472,36990,29341,35558,37966,27862,31091,40220,22456,29540,27261,36627,23379,30078,28350,34978,33067,34797,29065,20328,35109,19872,16957,33912,23963,37174,28307,24970,23102,26763,13550,29479,28830,30714,32590
38300,23073,31673,28866,30082,27596,33609,26569,36576,30095,32602,23559,27783,24236,31326,34361,37240,29470,27872,35500,36392,30961,28897,27223,29880,29718,38802,34618,28553,30763,21868,33822,32451,41967,31166,37506,29002,27321,22668,30536,35457,27259,26332,31028,25799,36881,28250,32258,31225,39734,27949,25737,38488,28054,35244,39532,36646,28067,25207,31235,24799,30374,39180,35286,33241,23711,32716,28440,37506,36494,24890,30778,31935,27605,34397,34969,34684,33489,27789,30096,34960,33071,35092,35548,35926,34400,30896,31897,34047,35043,36090,36840,21366,33294,31452,34021,22158,40156,29022,34649,29413,30792,31918,32680,35020,23265,29201,40209,34698,33825,37505,35550,19258,30407,31645,28274,37109,30782,38106,44969,30268,32694,21953,37653,34416,30888,31885,34934,33119,34719,38620,30660,27027,27458,28401,30452,35929,25789,38642,35782,26018,35044,28575,32993,33058,40224,29197,38237,36604,24360,33731,30904,32409,31749,31446,33325,31999,35436,38969,28923,19445,26281,29260,31786,38651,35393,32128,36496,36114,32939,25916,34503,34417,35795,32470,27303,23192,21128,32807,26844,31787,35679,31951,33675,30740,35181,34180,27429,36666,33307,34551,30447,39617,28593,32764,33616,36329,33264,36911,29692,32611,21636,34534,31682,28631,41383,33051,37079,34274,27936,27486,26298,30493,35568,27283,35577,35404,38094,31118,38248,33599,30024,34660,34243,21464,28942,25603,37965,35506,28330,28006,36414,40806,36203,24900,36620,32493,34941,37602,33783,31283,37637,40513,35972,28802,31375,41535,30529,33573,41587,29683,33208,31705,34318,35473,34769
39035,30648,38796,38496,29683,26910,23740,33585,32141,28922,39194,30677,34991,31946,31051,38617,34183,41039,31003,34555,35303,30661,23579,26265,30600,28842,26757,39250,40618,32499,34411,33866,22579,36500,24354,35796,33867,31532,31058,34616,24774,26691,19978,40001,30564,33055,32878,32726,27578,23545,24840,28492,40103,35123,44377,35464,24106,27612,29348,39117,32621,31160,31365,33082,39345,23805,30102,32427,39011,38067,28642,30334,34907,28254,28735,35397,33824,29232,30958,34032,36874,38026,32414,32953,31168,35526,33266,33585,31278,32775,25510,33488,41805,33120,27201,32249,33329,36991,28739,28355,33194,35834,34945,38351,31494,31963,34246,33249,36633,34009,31753,29865,25593,23806,34266,28530,33911,37005,39618,39309,36853,29659,31379,29732,34419,28348,25085,38398,37511,35977,31636,20376,38905,34364,31831,29556,30934,32338,26090,36477,33592,23915,29249,30601,28580,26832,27539,23813,33604,33426,38758,31346,36652,33876,27573,31956,33589,33496,33725,26407,30508,34463,34856,33120,31901,30858,32416,31753,24611,31075,40121,30567,41455,29358,29220,34726,38120,31698,39204,28531,22780,30859,35515,32896,39031,33570,39287,30394,33725,32646,31293,36275,22925,27241,31585,30249,32672,36720,27945,30899,34057,25638,26367,29928,26844,29393,32582,26342,32110,28460,35433,34213,27867,33635,33957,36737,29186,31560,35433,27698,28941,37272,27532,31360,35994,33761,45675,37687,30826,27872,38419,29289,33568,32586,40990,37927,40549,35628,29930,30978,33687,31896,39487,31771,35333,38912,32816,32644,32909,30439,37291,30192,33328,36362,30196,28337
32317,21860,24434,29564,38441,41028,41339,34130,37250,23495,30840,38285,33975,39795,39700,30995,28070,29978,34747,26440,28945,39540,39396,37137,44127,32376,31188,32420,31758,28393,36698,29999,34216,39101,34505,30691,30115,31083,33146,32600,32083,38530,30762,32206,27047,28148,39540,35810,34021,38078,30599,35051,33432,29630,24632,30640,24647,35791,33386,28822,33330,31877,36701,29783,30387,32229,22995,17929,30615,31402,43746,26445,30832,30743,25989,30519,37117,39212,32182,34094,28081,24984,35400,25936,28826,29887,36506,29184,35283,22081,32383,36884,23756,41025,37615,35753,34295,33828,28191,37583,33858,33569,37365,34275,24865,32654,29660,35736,28943,38926,35428,33298,27119,37438,32375,28725,36145,37471,28571,33069,31737,24059,29072,30018,35475,36248,39947,35805,29274,29725,27803,20589,34231,29824,37367,33803,18555,32276,28957,39112,33078,33236,26162,29115,36445,40958,38286,23080,31839,31075,30269,29001,27817,24034,33370,28354,33898,36209,34131,28661,24821,33398,32722,28902,30068,37085,33377,37088,36186,28349,30610,31158,33652,36685,33455,36397,33672,35619,35470,33646,29896,30640,28685,38967,34703,33476,36470,33092,34848,25085,29068,36679,27780,35986,20187,31063,32096,32970,34939,38745,26177,39015,24394,35876,39230,37265,25246,37920,26427,33420,32514,29064,33623,34633,32283,35011,31686,31983,29518,35025,36642,31537,26902,35576,32930,33466,31408,43752,28674,35946,33651,34112,35202,35611,31429,30000,29461,28672,31082,28689,39294,37305,43595,43024,34033,33901,23767,29964,34631,37404,43662,35410,29505,37312,37742,27663
32579,37005,32512,37757,36835,35650,36982,39395,31469,33180,31938,37545,24074,36916,30608,34684,26001,32238,28136,33050,34431,33551,38154,31714,29466,28572,28870,37573,32564,36246,32197,33694,23886,28234,34562,35890,32028,33483,31586,27844,34728,29309,28871,30255,31542,30491,34852,32012,36135,35474,39275,36736,34123,30053,29133,31331,28314,34789,37441,34003,35696,31580,29089,31435,30262,31160,33134,32043,29487,36525,40302,37880,35683,32509,34034,31832,31153,37098,41386,33479,30419,37106,31755,27315,30235,34938,35504,39451,35544,36212,39625,35047,34409,30598,24395,37630,36450,40375,32213,34308,33617,28812,29080,38746,25725,35560,37732,25905,36054,30724,28705,33523,37205,43978,33561,40244,37323,25393,29792,31222,28127,23340,34770,32043,33045,37318,29813,26230,27410,30171,30683,26433,31405,31520,42066,34048,38386,30179,39130,29100,32370,25688,27510,33151,31822,40347,35228,33414,29662,40419,26455,33115,39141,34817,40928,34421,32697,26782,33244,37248,33686,26770,24274,31775,28467,32405,23052,34406,32443,33852,31400,29466,35959,32080,22301,33233,37460,33335,24621,38548,33831,33192,27770,37582,30680,29928,29816,35643,36790,35599,27862,26178,36196,23795,41079,24380,18658,21775,35185,21553,33603,29257,32852,21049,37199,32061,32223,33761,37215,24479,32104,24408,30073,35744,28578,20037,37007,22679,30133,24618,33547,26283,36851,27782,29024,22936,31057,31684,34752,35512,32466,33029,34356,30720,28968,37210,22812,19802,34864,38564,41510,31692,39124,38899,24488,32200,30403,33082,33498,35757,36517,32704,33091,27470,39495,34664
