32096,39525,29235,24551,39710,38423,41274,27883,24250,33754,26560,26580,42841,29929,22762,22955,35131,37036,40546,22257,31407,17657,25399,18567,26853,34559,39613,38024,21836,19067,22552,22079,23993,25013,23215,28439,25971,28776,26085,27086,34828,25960,38658,33982,35185,25277,40184,31647,25829,36122,38523,37279,25024,30140,23774,32148,43026,33523,27566,32727,30297,36960,41203,33872,28041,24077,33448,44267,21158,24497,28136,23224,38422,42658,35730,33872,33185,30813,24734,29058,41437,25168,33820,41584
27732,25183,26295,28026,30275,33103,30438,34141,17393,32068,28563,18016,18339,26925,41380,31156,41385,39006,30316,37615,34467,31794,35177,33823,27144,20184,30078,31286,34798,32745,36649,37211,37878,26895,32361,22814,32888,37817,41215,43172,39090,30773,39636,25976,25069,19789,38871,37523,24102,39417,33545,31582,33754,26335,38681,30727,26836,24530,37307,36664,33574,40016,21045,27533,42664,38931,28648,38188,35224,25786,24881,28142,21154,36992,19335,25702,24196,24250,21518,27736,17934,27732,42923,35212
37893,40410,40254,38441,32913,32625,38174,30238,15723,30979,34267,27747,20567,36769,35417,40435,33591,36778,32729,29497,19002,39348,29556,21315,37205,22223,22269,40239,30405,40271,28436,32886,40090,42352,40165,28162,29060,33972,28021,32850,40730,37061,21431,32646,41135,37482,33314,39857,29970,37073,30458,22993,33855,37388,23220,36657,39677,32422,33114,36009,32376,39523,29687,37511,37026,22332,38874,37656,26969,34240,26194,24167,40931,25622,28443,42969,29959,20217,26204,26406,30202,36705,27478,31215
29978,30227,26644,31188,31560,27365,32441,42931,24213,16293,32575,36840,25099,27387,19043,41287,37189,41334,30530,18509,38164,29237,43127,26758,25352,30563,38809,39232,43376,38807,31781,22146,29480,38850,36629,22280,26159,29456,35718,24682,23940,28343,28475,28171,26772,30390,33986,38313,26087,37403,22777,39091,39747,40216,29652,33130,23791,33841,24364,21021,26229,37691,35791,22128,30900,27845,23226,14242,27722,30736,34473,42615,30843,22098,42701,29003,35963,39212,39044,34028,21205,28824,31872,41363
25977,28525,32048,32942,34762,21004,40160,35387,26495,42570,30152,37986,33478,32450,34257,38809,27034,24683,38740,33305,26800,22500,25026,42681,39825,28571,37486,26994,33827,17066,32490,37035,35218,32681,36659,37873,39706,19298,44107,25637,30005,33758,33454,24785,32964,26917,26835,28611,34929,30830,31914,20559,23198,29536,39848,20889,33982,37541,29245,32399,41035,28774,32533,27480,38969,23352,42443,16292,25196,24650,24845,40468,23806,31536,26421,37217,39631,40244,26156,29049,34782,34891,19280,30810
20066,30261,23392,30778,28500,24630,31695,30338,37196,32360,34345,38902,41053,36342,41533,22424,33341,29459,29555,27344,38066,37540,38824,32735,34850,23126,33684,32034,32614,34859,24786,22862,24454,33397,35330,23254,30688,31789,23434,35345,26854,33501,43242,32642,20443,16652,29659,24002,35314,25694,38671,21330,33683,26263,26469,36242,32501,39060,30000,29165,29880,30395,33134,32124,27617,42114,32714,31825,41187,35579,32076,40168,40998,26555,38914,40787,22312,28935,32456,33509,22875,29544,37525,34270
11331,24102,44332,28550,23824,38072,25278,31808,36213,28697,12872,38672,36522,35158,25382,21151,25663,28196,36323,36610,36321,23843,27035,26467,34304,41564,36819,24569,31539,29652,21129,35271,21023,33620,38031,24889,29069,33618,32822,40423,26569,27372,29411,23485,19110,28696,37757,33391,31675,34659,40646,18767,24868,35023,29064,36064,41783,25711,28017,22228,31791,29706,32860,38519,43896,26492,39641,24205,15715,27379,33756,33360,27952,43246,32241,25841,41006,30094,36968,35647,35643,34862,32909,34493
27867,28091,38143,28508,34249,31241,36138,22190,31259,28541,32451,32731,39101,40197,28415,31591,34860,32164,23039,22737,31713,23022,41869,38215,29466,39542,30320,25527,38999,36766,36472,30853,35617,28436,41906,32953,25693,36624,23748,36438,36679,27481,32904,40634,38636,32887,39924,42486,35963,33380,19573,32143,31313,39525,33127,18306,15698,38054,31362,37426,31937,40548,21272,24538,35591,24419,19587,41246,31355,22333,20158,25636,29121,22978,16602,32588,27569,29132,30788,41690,37296,25860,27338,25278
38122,24535,29793,36794,32410,34257,23795,43923,21805,25522,24077,34201,31622,24864,38212,31648,36326,24313,43573,42032,39382,42370,28138,32816,32109,35683,41028,39033,20958,31640,39499,27700,31901,22052,37329,33887,40424,31388,25187,24124,30414,27439,21729,36252,36882,34797,22126,34245,20161,27764,39035,22754,34609,37153,25250,40001,26563,21473,36363,38591,22814,27170,41518,29952,22106,38938,35951,21910,39330,35801,26594,24761,24419,26600,38285,22760,29486,27513,32526,35358,28000,35044,21988,31222
36370,40878,43489,5585,35717,25002,29444,39418,37074,28423,41708,30982,33053,36335,29230,28087,20095,42361,36175,32240,23636,24087,37647,42654,37867,22068,37571,30827,24568,23264,40008,28604,28012,37732,20786,42093,30688,36195,34161,25341,30262,35342,23033,27482,22459,23056,32123,41924,33667,35583,28858,25869,24413,35832,35858,32997,37340,23908,39062,26345,38355,22472,31282,29115,19530,36138,33505,26412,42368,20481,19442,27688,35167,31489,41333,35217,23871,36712,33765,25092,33691,35032,27843,29663
